사업장명,인허가일자,영업상태명,폐업일자,위생업태명,소재지도로명주소,소재지지번주소
꿈터,2013-08-09,폐업,2016-09-19,커피숍,"서울특별시 관악구 관악로 274, 1층 (봉천동)",서울특별시 관악구 봉천동 14-53 
모즈,2016-08-30,폐업,2016-09-21,커피숍,"서울특별시 관악구 남부순환로191길 5, 1층 101호 (신림동)",서울특별시 관악구 신림동 1410-1 
로티팜스,2009-06-03,폐업,2016-10-07,커피숍,"서울특별시 관악구 남부순환로 1369, 2층 (신림동)",서울특별시 관악구 신림동 1668 
페라슈발츄러스 신대방역점,2016-08-18,폐업,2016-10-10,커피숍,"서울특별시 관악구 난곡로 364-1, 1층 (신림동)",서울특별시 관악구 신림동 517-57 
플레이보드,2014-07-09,폐업,2016-10-13,커피숍,"서울특별시 관악구 신림로 324, 지하1층 (신림동)",서울특별시 관악구 신림동 1641-9 
디그니티티라미수,2016-05-30,폐업,2016-10-14,커피숍,"서울특별시 관악구 대학길 31, 가동 1층 (신림동)",서울특별시 관악구 신림동 241-118 
"커피식스,쥬스식스(신림역점)",2016-03-04,폐업,2016-10-27,커피숍,"서울특별시 관악구 신림로 321, 1층 (신림동)",서울특별시 관악구 신림동 1638-19 
사랑하면사주개,2016-02-11,폐업,2016-10-31,커피숍,"서울특별시 관악구 청룡4길 64, 1층 (봉천동)",서울특별시 관악구 봉천동 928-10 
신사마을공동체위원회,2013-12-11,폐업,2016-11-10,커피숍,"서울특별시 관악구 관천로19길 89, 2층 (신림동)",서울특별시 관악구 신림동 494-34 
카페몽실,2013-04-10,폐업,2016-11-11,커피숍,"서울특별시 관악구 낙성대역길 69, 1층 (봉천동)",서울특별시 관악구 봉천동 196-248 
커피박스,2016-02-05,폐업,2016-11-17,커피숍,"서울특별시 관악구 남부순환로163길 6, 1층 (신림동)",서울특별시 관악구 신림동 466-20 
커피양 떡볶이군,2009-06-05,폐업,2016-11-18,커피숍,"서울특별시 관악구 관악로30길 12, 지하1층 (봉천동)",서울특별시 관악구 봉천동 1706 지하1층 
엘가커피,2013-08-08,폐업,2016-11-18,커피숍,"서울특별시 관악구 남부순환로 1931, 지상2층 (봉천동)",서울특별시 관악구 봉천동 1687-5 
꿈꾸는다락방,2015-08-03,폐업,2016-11-29,커피숍,"서울특별시 관악구 난곡로 119, 1층 (신림동)",서울특별시 관악구 신림동 687-1 
cafe밤골다미재,2016-11-22,폐업,2016-12-12,커피숍,"서울특별시 관악구 밤골길 3, 1층 (신림동)",서울특별시 관악구 신림동 320-25 
한방울커피,2016-09-13,폐업,2017-01-16,커피숍,"서울특별시 관악구 관악로 268, 1층 (봉천동)",서울특별시 관악구 봉천동 14-52 
정글독,2013-07-03,폐업,2017-01-20,커피숍,"서울특별시 관악구 신림로70길 23, 지상2층 (신림동)",서울특별시 관악구 신림동 1416-23 
나날의행복,2013-08-19,폐업,2017-02-03,커피숍,"서울특별시 관악구 장군봉11길 13, 지하1층 (봉천동)",서울특별시 관악구 봉천동 1534-7 
아트카페 아르떼,2013-09-13,폐업,2017-02-07,커피숍,"서울특별시 관악구 남부순환로 2076 (남현동, 서울시립미술관)",서울특별시 관악구 남현동 1059-13 
피씨네오,2009-07-27,폐업,2017-02-08,커피숍,"서울특별시 관악구 쑥고개로 100 (봉천동, 2층 214호)",서울특별시 관악구 봉천동 1574-1 
Stone coffee,2016-06-24,폐업,2017-02-09,커피숍,"서울특별시 관악구 보라매로2길 28, 1층 (봉천동)",서울특별시 관악구 봉천동 696-9 
에스프레소 미투,2011-03-07,폐업,2017-02-14,커피숍,"서울특별시 관악구 남부순환로 1820 (봉천동,(10층 4호))",서울특별시 관악구 봉천동 862-1 (10층 4호) 
